FeatureIdx,Average Feature Area_small,Average Feature Area_mod,Average Feature Area_large,Maximum Inscribed Circle Radius_small,Maximum Inscribed Circle Radius_mod,Maximum Inscribed Circle Radius_large,Variance Feature Orientation_small,Variance Feature Orientation_mod,Variance Feature Orientation_large,Std Dev Inscribed Circle Radius_small,Std Dev Inscribed Circle Radius_mod,Std Dev Inscribed Circle Radius_large,Maximum Feature Area_small,Maximum Feature Area_mod,Maximum Feature Area_large,Feature Unit Cell Size_small,Feature Unit Cell Size_mod,Feature Unit Cell Size_large,Average
66,0.0,0.07978876620259241,0.07146719650658973,0.0,0.4465870683839525,0.02924115713287223,1.0,0.0,0.0,0.0,0.24644454449131734,0.04036601595844089,0.0,0.24440483264012675,0.04902222173507409,0.0,1.0,0.0,17.25
67,0.1794738924729922,0.3891134233382057,0.0,0.6409591569744023,0.0,0.0,1.0,0.0,0.0,0.7326380984760659,0.0,0.0,0.5575474024686252,0.08419670217423025,0.0,1.0,0.0,0.0,20.41666667
68,0.7290965151295046,0.0,0.0,0.9029011007536991,0.0,0.0,0.0,0.9744587728883121,0.001342814301510583,0.9264667056729649,0.0,0.0,0.6165232668310369,0.05191075694587402,0.0,1.0,0.0,0.0,15.16666667
69,0.0,0.9331413026084177,0.0004356198499264273,0.0,0.0,0.16254754982242192,0.009922406639572473,0.9860247719442625,4.043006758817753e-05,0.0,0.0,0.08286762254158808,0.009745522213218644,0.8809280607033416,0.0,0.0,0.0,1.0,19.33333333
70,0.18254834424866306,0.3824060538309394,0.0,0.0,0.27779446990691736,0.04985494649867548,0.5992604003734083,0.40073959962659167,0.0,0.0,0.28066987697378065,0.03673168542776843,0.2781059786989686,0.35911279731504453,0.0,0.0,1.0,0.0,27.75
71,0.9720711816851333,0.0,0.0,0.49720760256918106,0.0,0.0,0.0,0.7999893139400958,0.08005623987801344,0.24019742739607736,0.15871480450620742,0.0,0.9804762055349773,0.0,0.0,1.0,0.0,0.0,14.58333333
72,0.17781841843993865,0.39272508384211835,0.0,0.3791246598986396,0.05837814143977712,0.0,1.0,0.0,0.0,0.21935115877980899,0.19551513058050868,0.0,0.555302753709633,0.08623960309353568,0.0,1.0,0.0,0.0,10.5
73,0.7297973637697773,0.0,0.0,0.8793739946927536,0.0,0.0,0.27905830696323275,0.7209416930367673,0.0,0.9781199329345366,0.0,0.0,0.7686042538597228,0.0,0.0,1.0,0.0,0.0,9.25
74,0.0,0.0,0.9306423786723542,0.18932500671084632,0.3343962408801937,0.0,1.0,0.0,0.0,0.1280827852052724,0.38588710447296126,0.0,0.0,0.0,0.9249729430642889,0.0,0.0,1.0,10.5
75,0.0,0.9306769083053289,0.0004645621146395499,0.7591311266261719,0.0,0.0,1.0,0.0,0.0,0.9599102707463398,0.0,0.0,0.09084837697055533,0.6404494382022472,0.0,1.0,0.0,0.0,11.58333333
